epoch,train_loss,val_auroc,val_auprc,val_f1,val_accuracy,val_sensitivity,val_specificity,learning_rate,learning_rate_start,learning_rate_end,learning_rate_mean,epoch_time_seconds,best_checkpoint_this_epoch,val_threshold,best_val_metric,best_val_metric_name,num_bad_epochs,train_time_seconds,val_time_seconds
0,0.3233361610638665,0.9971014492753623,0.9974760535027654,0.9785407725321889,0.9766355140186916,0.991304347826087,0.9595959595959596,0.0004,0.0,0.0004,0.0002004854368932039,2.937278628349304,True,0.06024616211652756,0.9971014492753623,auroc,0,2.5896864719688892,0.2971242517232895
1,0.1315614257038354,0.9978041282389108,0.9981657038000089,0.9781659388646288,0.9766355140186916,0.9739130434782609,0.9797979797979798,0.0008,0.0004,0.0008,0.0006004854368932039,2.108197309076786,True,0.9871072173118591,0.9978041282389108,auroc,0,1.8674335554242134,0.20342992804944515
2,0.09793610774767268,0.9996486605182257,0.9997077091706246,0.9956331877729258,0.9953271028037384,0.991304347826087,1.0,0.000999726628670463,0.0008,0.000999726628670463,0.0009501968225993172,1.724705109372735,True,0.9926060438156128,0.9996486605182257,auroc,0,1.480134105309844,0.20483441650867462
3,0.07618625989653965,0.9988581466842337,0.9990740960848169,0.9912280701754386,0.9906542056074766,0.9826086956521739,1.0,0.0009975414512725057,0.000999726628670463,0.0009975414512725057,0.000998813232763299,1.9448662418872118,False,0.9411379098892212,0.9996486605182257,auroc,1,1.7132890038192272,0.23157169856131077
4,0.05586080803243145,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,0.0009931806517013613,0.0009975414512725057,0.0009931806517013613,0.0009955364103484653,2.0536402761936188,True,0.43633008003234863,1.0,auroc,0,1.7727683018893003,0.234609542414546
5,0.0515060204158094,0.9994729907773386,0.999540213829449,0.9956709956709957,0.9953271028037384,1.0,0.98989898989899,0.000986663298624003,0.0009931806517013613,0.000986663298624003,0.000990092733294248,2.2103560753166676,False,0.9223573803901672,1.0,auroc,1,1.969167834147811,0.24118357338011265
6,0.04078901622351711,0.9998243302591129,0.9998513563730953,0.9956331877729258,0.9953271028037384,0.991304347826087,1.0,0.0009780178907671788,0.000986663298624003,0.0009780178907671788,0.0009825060054153287,2.6454269383102655,False,0.9548352956771851,1.0,auroc,2,2.330235769972205,0.31518683210015297
7,0.04022353845710631,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,0.0009672822322997304,0.0009780178907671788,0.0009672822322997304,0.0009728094015423736,2.691080080345273,False,0.86539626121521,1.0,auroc,3,2.387292431667447,0.30378343909978867
8,0.031109184244149185,0.9996486605182258,0.9996961927897757,0.9956709956709957,0.9953271028037384,1.0,0.98989898989899,0.0009545032675245813,0.0009672822322997304,0.0009545032675245813,0.0009610453224569389,2.240124888718128,False,0.5376007556915283,1.0,auroc,4,1.9302396029233932,0.30988254211843014
9,0.024892784226730972,0.9998243302591129,0.9998513563730955,0.9956331877729258,0.9953271028037384,0.991304347826087,1.0,0.0009397368756032445,0.0009545032675245813,0.0009397368756032445,0.000947265209483642,2.217321839183569,False,0.9984279870986938,1.0,auroc,5,1.9103340599685907,0.30698510631918907
10,0.02441274650842494,0.9988581466842337,0.9990135142008553,0.991304347826087,0.9906542056074766,0.991304347826087,0.98989898989899,0.0009230476262104677,0.0009397368756032445,0.0009230476262104677,0.0009315293195503368,2.3901488911360502,False,0.9970247149467468,1.0,auroc,6,2.0858927480876446,0.30425306782126427
11,0.02186114118757739,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,0.0009045084971874737,0.0009230476262104677,0.0009045084971874737,0.0009139064616999005,2.497914545238018,False,0.7567775249481201,1.0,auroc,7,2.157292515039444,0.3406191151589155
12,0.02107592236343319,0.9996486605182258,0.9996961927897758,0.9956709956709957,0.9953271028037384,1.0,0.98989898989899,0.0008842005554284296,0.0009045084971874737,0.0008842005554284296,0.0008944736962057963,2.527788555249572,False,0.9909646511077881,1.0,auroc,8,2.179977022111416,0.34780915826559067
13,0.017382968664005426,1.0,1.0,1.0,1.0,1.0,1.0,0.0008622126023955446,0.0008842005554284296,0.0008622126023955446,0.0008733159976071044,2.509872544556856,False,0.9932252764701843,1.0,auroc,9,2.168591333553195,0.3412790186703205
14,0.02312525012848268,1.0,0.9999999999999997,1.0,1.0,1.0,1.0,0.0008386407858128706,0.0008622126023955446,0.0008386407858128706,0.0008505258831364842,2.4947373550385237,False,0.9990549683570862,1.0,auroc,10,2.16486687771976,0.32986667938530445
