epoch,train_loss,val_auroc,val_auprc,val_f1,val_accuracy,val_sensitivity,val_specificity,learning_rate,learning_rate_start,learning_rate_end,learning_rate_mean,epoch_time_seconds,best_checkpoint_this_epoch,val_threshold,best_val_metric,best_val_metric_name,num_bad_epochs,train_time_seconds,val_time_seconds
0,0.3383689752396243,0.9935880544576198,0.9945026349025431,0.9652173913043478,0.9626168224299065,0.9652173913043478,0.9595959595959596,0.0004,0.0,0.0004,0.00020062893081761006,3.916421689093113,True,0.013048038817942142,0.9935880544576198,auroc,0,3.5469402950257063,0.31927805580198765
1,0.16204111559430734,0.9989459815546773,0.9990867228576776,0.9871244635193133,0.985981308411215,1.0,0.9696969696969697,0.0008,0.0004,0.0008,0.00060062893081761,1.3536432553082705,True,0.6448061466217041,0.9989459815546773,auroc,0,1.1147862803190947,0.20190144889056683
2,0.10994074455866555,0.9991216512955643,0.9992597109755686,0.9868995633187773,0.985981308411215,0.9826086956521739,0.98989898989899,0.000999726628670463,0.0008,0.000999726628670463,0.0009502684711294626,1.5317748952656984,True,0.6974547505378723,0.9991216512955643,auroc,0,1.2585433088243008,0.21590634435415268
3,0.08443847385164842,0.999385155906895,0.999485789142042,0.991304347826087,0.9906542056074766,0.991304347826087,0.98989898989899,0.0009975414512725057,0.000999726628670463,0.0009975414512725057,0.0009988124481371998,1.5400898698717356,True,0.5423848032951355,0.999385155906895,auroc,0,1.2722341567277908,0.2170794066041708
4,0.058029989960878714,0.9991216512955643,0.9992722244460787,0.991304347826087,0.9906542056074766,0.991304347826087,0.98989898989899,0.0009931806517013613,0.0009975414512725057,0.0009931806517013613,0.0009955348452557284,1.5747591257095337,False,0.9892591834068298,0.999385155906895,auroc,1,1.3580973912030458,0.21665778756141663
5,0.05046228702478814,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,0.000986663298624003,0.0009931806517013613,0.000986663298624003,0.0009900903945786255,1.7527165245264769,True,0.029212236404418945,1.0,auroc,0,1.4450811631977558,0.2193954549729824
6,0.05152911486348676,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,0.0009780178907671788,0.000986663298624003,0.0009780178907671788,0.000982502903303429,1.59268799982965,False,0.9417942762374878,1.0,auroc,1,1.3657679837197065,0.2269166186451912
7,0.03920745215585174,0.9997364953886694,0.9997789240972732,0.9956331877729258,0.9953271028037384,0.991304347826087,1.0,0.0009672822322997304,0.0009780178907671788,0.0009672822322997304,0.0009728055495989426,1.680061049759388,False,0.9372560977935791,1.0,auroc,2,1.465329920873046,0.21472476981580257
8,0.032571218466882615,0.9997364953886694,0.9997789240972732,0.9956331877729258,0.9953271028037384,0.991304347826087,1.0,0.0009545032675245813,0.0009672822322997304,0.0009545032675245813,0.0009610407375255458,1.6829821094870567,False,0.9032207131385803,1.0,auroc,3,1.462742080911994,0.22023707441985607
9,0.0372944198255559,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,0.0009397368756032445,0.0009545032675245813,0.0009397368756032445,0.0009472599116130245,1.6149618085473776,False,0.9876983761787415,1.0,auroc,4,1.402789756655693,0.2121692467480898
10,0.025616585263292708,0.9996486605182258,0.999696192789776,0.9956709956709957,0.9953271028037384,1.0,0.98989898989899,0.0009230476262104677,0.0009397368756032445,0.0009230476262104677,0.0009315233319067352,1.625887906178832,False,0.8500111699104309,1.0,auroc,5,1.4055243078619242,0.2203609123826027
11,0.02115201561994713,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.0009045084971874737,0.0009230476262104677,0.0009045084971874737,0.000913899810465757,1.5902157723903656,False,0.9852365255355835,1.0,auroc,6,1.3691989053040743,0.22101259045302868
12,0.01891052410934185,0.9998243302591129,0.9998513563730953,0.9956331877729258,0.9953271028037384,0.991304347826087,1.0,0.0008842005554284296,0.0009045084971874737,0.0008842005554284296,0.0008944664104652653,1.6910379342734814,False,0.8544125556945801,1.0,auroc,7,1.4729088637977839,0.2181255742907524
13,0.02107403984444535,1.0,0.9999999999999997,1.0,1.0,1.0,1.0,0.0008622126023955446,0.0008842005554284296,0.0008622126023955446,0.0008733081092188759,1.6398791391402483,False,0.9735720157623291,1.0,auroc,8,1.428611882030964,0.21126470156013966
14,0.013631262900505462,0.9998243302591129,0.9998513563730953,0.9956331877729258,0.9953271028037384,0.991304347826087,1.0,0.0008386407858128706,0.0008622126023955446,0.0008386407858128706,0.0008505174265944725,1.2689549755305052,False,0.9845661520957947,1.0,auroc,9,1.0668768417090178,0.20207566022872925
15,0.017893024146549166,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,0.0008135881792367685,0.0008386407858128706,0.0008135881792367685,0.0008261940204483665,1.287988694384694,False,0.9976978898048401,1.0,auroc,10,1.0852522403001785,0.20273345708847046
