epoch,train_loss,val_auroc,val_auprc,val_f1,val_accuracy,val_sensitivity,val_specificity,learning_rate,learning_rate_start,learning_rate_end,learning_rate_mean,epoch_time_seconds,best_checkpoint_this_epoch,val_threshold,best_val_metric,best_val_metric_name,num_bad_epochs,train_time_seconds,val_time_seconds
0,0.3233361610638665,0.9971014492753623,0.9974760535027654,0.9785407725321889,0.9766355140186916,0.991304347826087,0.9595959595959596,0.0004,0.0,0.0004,0.0002004854368932039,5.112796055153012,True,0.06024616211652756,0.9971014492753623,auroc,0,4.717519959434867,0.349479828029871
1,0.1315614257038354,0.9978041282389108,0.9981657038000089,0.9781659388646288,0.9766355140186916,0.9739130434782609,0.9797979797979798,0.0008,0.0004,0.0008,0.0006004854368932039,2.6479422356933355,True,0.9871072173118591,0.9978041282389108,auroc,0,2.248733116313815,0.2808456737548113
2,0.09793610774767268,0.9996486605182257,0.9997077091706246,0.9956331877729258,0.9953271028037384,0.991304347826087,1.0,0.000999726628670463,0.0008,0.000999726628670463,0.0009501968225993172,2.5034928042441607,True,0.9926060438156128,0.9996486605182257,auroc,0,2.1566551458090544,0.27661951817572117
3,0.07618625989653965,0.9988581466842337,0.9990740960848169,0.9912280701754386,0.9906542056074766,0.9826086956521739,1.0,0.0009975414512725057,0.000999726628670463,0.0009975414512725057,0.000998813232763299,2.4685405250638723,False,0.9411379098892212,0.9996486605182257,auroc,1,2.163777604699135,0.3047556187957525
4,0.05586080803243145,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,0.0009931806517013613,0.0009975414512725057,0.0009931806517013613,0.0009955364103484653,2.62629546970129,True,0.43633008003234863,1.0,auroc,0,2.2033947315067053,0.2936940286308527
5,0.0515060204158094,0.9994729907773386,0.999540213829449,0.9956709956709957,0.9953271028037384,1.0,0.98989898989899,0.000986663298624003,0.0009931806517013613,0.000986663298624003,0.000990092733294248,2.633786426857114,False,0.9223573803901672,1.0,auroc,1,2.3507768400013447,0.2830048091709614
6,0.04078901622351711,0.9998243302591129,0.9998513563730953,0.9956331877729258,0.9953271028037384,0.991304347826087,1.0,0.0009780178907671788,0.000986663298624003,0.0009780178907671788,0.0009825060054153287,2.6841789446771145,False,0.9548352956771851,1.0,auroc,2,2.397804146632552,0.2863712813705206
7,0.04022353845710631,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,0.0009672822322997304,0.0009780178907671788,0.0009672822322997304,0.0009728094015423736,2.567311057820916,False,0.86539626121521,1.0,auroc,3,2.2744203452020884,0.29288688488304615
8,0.031109184244149185,0.9996486605182258,0.9996961927897757,0.9956709956709957,0.9953271028037384,1.0,0.98989898989899,0.0009545032675245813,0.0009672822322997304,0.0009545032675245813,0.0009610453224569389,2.4694592859596014,False,0.5376007556915283,1.0,auroc,4,2.181913999840617,0.2875336352735758
9,0.024892784226730972,0.9998243302591129,0.9998513563730955,0.9956331877729258,0.9953271028037384,0.991304347826087,1.0,0.0009397368756032445,0.0009545032675245813,0.0009397368756032445,0.000947265209483642,2.377999760210514,False,0.9984279870986938,1.0,auroc,5,2.1013105139136314,0.276686642318964
10,0.02441274650842494,0.9988581466842337,0.9990135142008553,0.991304347826087,0.9906542056074766,0.991304347826087,0.98989898989899,0.0009230476262104677,0.0009397368756032445,0.0009230476262104677,0.0009315293195503368,2.1179924085736275,False,0.9970247149467468,1.0,auroc,6,1.8366319816559553,0.28135825134813786
11,0.02186114118757739,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,0.0009045084971874737,0.0009230476262104677,0.0009045084971874737,0.0009139064616999005,2.1276927068829536,False,0.7567775249481201,1.0,auroc,7,1.8507016208022833,0.27698815055191517
12,0.02107592236343319,0.9996486605182258,0.9996961927897758,0.9956709956709957,0.9953271028037384,1.0,0.98989898989899,0.0008842005554284296,0.0009045084971874737,0.0008842005554284296,0.0008944736962057963,2.1713204383850098,False,0.9909646511077881,1.0,auroc,8,1.8982160482555628,0.2731017041951418
13,0.017382968664005426,1.0,1.0,1.0,1.0,1.0,1.0,0.0008622126023955446,0.0008842005554284296,0.0008622126023955446,0.0008733159976071044,1.8977511785924435,False,0.9932252764701843,1.0,auroc,9,1.6865772362798452,0.2111714594066143
14,0.02312525012848268,1.0,0.9999999999999997,1.0,1.0,1.0,1.0,0.0008386407858128706,0.0008622126023955446,0.0008386407858128706,0.0008505258831364842,1.5381662994623184,False,0.9990549683570862,1.0,auroc,10,1.3454551082104445,0.19270843639969826
